# Ground-truth interrelation edges for the Bitcoin ecosystem (BIPs + SLIPs).
#
# Columns:
#   source         Proposal that holds the dependency, in graph_key format (e.g. bips:32, slips:44).
#   target         Proposal being depended on (graph_key format).
#   relation_type  One of:
#                    depends_on   source is functionally dependent on target.
#                    references   source cites or mentions target without functional dependency.
#                    supersedes   source obsoletes or replaces target.
#   confidence     One of: low | medium | high.
#   evidence       Short anchor (URL fragment, section name, or direct quote) backing the claim. Wrap in quotes if it contains commas.
#   note           Optional free-text rationale. Wrap in quotes if it contains commas.
#   reviewer       Reviewer initials or handle.
#   reviewed_at    ISO date of review (YYYY-MM-DD). Snapshot context can be triangulated from this against the latest snapshot at review time.
#
# Inter-source edges (e.g. bips:N -> slips:M) are recorded in this single file.
# Lines starting with '#' are skipped during import. Replace the examples below with real entries.
#
source,target,relation_type,confidence,evidence,note,reviewer,reviewed_at 
bips:31,bips:14,depends_on,high,"When the protocol version as negotiated in the 'ver' message is greater than 60000, the 'ping' message must contain a uint64 field called 'nonce'.","BIP14 defines the protocol-version negotiation that gates this   behaviour.",rbo,2026-06-22
bips:77,bips:21,depends_on,high,"The receiver initiates a Payjoin Session by sharing a Payjoin URI that includes the URL of an ephemeral mailbox [...] Bitcoin URIs (BIP 21 or BIP 321) are a standard way to request bitcoin. A Payjoin URI is a Bitcoin URI that contains a pj parameter.",BIP21 originally defined the Bitcoin URI scheme that carries the Payjoin pj parameter. BIP321 later replaced BIP21.,rbo,2026-06-22
bips:321,bips:21,supersedes,high,"This BIP is a modification and intended replacement of BIP 0021 to add information about the modern usage of bitcoin.",,rbo,2026-06-22
bips:77,bips:78,depends_on,high,"This document proposes a second, backwards-compatible, asynchronous version of the Payjoin protocol ('Version 2') relative to and described in BIP 78 ('Version 1').",BIP77 is Payjoin v2 and reuses BIP78's sender/receiver checklists with a backwards-compatible fallback path for BIP78 senders.,rbo,2026-06-22
bips:78,bips:79,supersedes,high,"Another implementation proposal has been written: BIP79 Bustapay.We decided to deviate from it for several reasons: [...] Other than that, our proposal is very similar.", BIP78 is the proposed replacement of the BIP79.,rbo,2026-06-22
bips:77,bips:173,depends_on,high,"[...] and encoding it in uppercase using the bech32 character set [...] These session-specific parameters use a bech32-inspired encoding.",The checksummed base32 format called Bech32 is defined in BIP173,rbo,2026-06-22
bips:77,bips:174,depends_on,high,"This transaction is serialized as a BIP 174 PSBTv0, satisfying the receiver checklist.",Partially Signed Bitcoin Transaction (PSBT) format use BIP174 PSBTv0 serialization.,rbo,2026-06-22
bips:77,bips:324,depends_on,high,"ElligatorSwift as defined in BIP 324 is used to encode encapsulated HPKE public keys prepended to the HPKE ciphertext [...]",,rbo,2026-06-22
bips:324,bips:340,references,high,"Here, sha256_tagged(tag, x) returns a tagged hash value SHA256(SHA256(tag) || SHA256(tag) || x) as in BIP340. [...] In what follows, we use the notation from BIP340.",Probably not a technically required dependency but BIP340 contributes to the understanding of BIP324,rbo,2026-06-22
bips:324,bips:151,supersedes,high,"Replaces: 151",Replacement noted in BIP324 preamble.,rbo,2026-06-22
bips:39,bips:32,depends_on,high,"This seed can be later used to generate deterministic wallets using BIP-0032 or similar methods.","Declared as depends_on relation here as the sole purpose of mnemonic seeds is their subsequent conversion to BIP32 master keys.",rbo,2026-06-22
slips:39,bips:32,depends_on,high,"This SLIP describes a standard and interoperable implementation of Shamir's secret-sharing (SSS) and a specification for its use in backing up Hierarchical Deterministic Wallets described in BIP-0032.",,rbo,2026-06-22
slips:39,bips:39,supersedes,high,"This SLIP is mainly intended as a replacement for BIP-0039 and for the most part, the two are not compatible.",,rbo,2026-06-22
bips:44,bips:32,depends_on,high,"Requires: 32 [...] This BIP defines a logical hierarchy for deterministic wallets based on an algorithm described in BIP-0032","Dependency noted in BIP44 preamble.",rbo,2026-06-22
bips:44,bips:43,depends_on,high,"Requires: [...] 43 [...] This BIP defines a logical hierarchy for deterministic wallets based on an [...] purpose scheme described in BIP-0043.","Dependency noted in BIP44 preamble. Uses BIP43 purpose-field convention.",rbo,2026-06-22
bips:43,bips:32,depends_on,high,"This BIP introduces a 'Purpose Field' for use in deterministic wallets based on algorithm described in BIP-0032",,rbo,2026-06-22
slips:44,bips:44,depends_on,high,"BIP-0044 defines a logical hierarchy for deterministic wallets. Level 2 of the hierarchy describes a coin type in use. BIP repository does not want to deal with assigning the values for various coin types different than Bitcoin so we propose this SLIP to become such body.",,rbo,2026-06-22
bips:44,slips:44,references,high,"This BIP is not a central directory for the registered coin types, please visit SatoshiLabs that maintains the full list: 'SLIP-0044 : Registered coin types for BIP-0044'","SLIP44 enumerates coin_type values used by BIP-44.",rbo,2026-06-22
slips:10,bips:32,depends_on,medium,"SLIP-0010 describes a generalized derivation scheme for private and public key pairs in hierarchical deterministic wallets. [...] This SLIP describes how to derive a master private/public key for these curves by generalizing the derivation scheme used in BIP-0032.","SLIP10 extends BIP32 to additional curves.",rbo,2026-06-22
slips:21,bips:32,depends_on,medium,"We adapt the master node generation from BIP-0032 and SLIP-0010.",,rbo,2026-06-22
slips:21,slips:10,depends_on,medium,"We adapt the master node generation from BIP-0032 and SLIP-0010.",,rbo,2026-06-22
slips:21,slips:39,depends_on,medium,"Let S be the master secret, such as that defined in SLIP-0039 or the binary seed defined in BIP-0039.",,rbo,2026-06-22
slips:21,bips:39,depends_on,medium,"Let S be the master secret, such as that defined in SLIP-0039 or the binary seed defined in BIP-0039.",,rbo,2026-06-22
