id,title,compliance_score,created,author,contributors,graph_key,layer,source_slug,status,type
1,BIP Purpose and Guidelines,57.14,2011-09-19,Amir Taaki <genjix@riseup.net>,"['Peter Todd', 'Wladimir J. van der Laan', 'ReadLiberty', 'Amos Bairn', 'BtcDrak', 'Andy Chase', 'Bryan Bishop', 'Luke Dashjr', 'peterizzoo']",bips:1,,bips,Replaced,Process
2,"BIP process, revised",80.0,2016-02-03,Luke Dashjr <luke+bip@dashjr.org>,"['Luke Dashjr', 'MarcoFalke', 'Luke-Jr', 'Jonathan Cross', 'Gigi']",bips:2,,bips,Active,Process
8,Version bits with lock-in by height,93.1,2017-02-01,Shaolin Fry <shaolinfry@protonmail.ch> | Luke Dashjr <luke+bip@dashjr.org>,"['shaolinfry', 'Luke Dashjr', 'Janus', 'Jake Rawsthorne', 'Anthony Towns']",bips:8,,bips,Draft,Informational
9,Version bits with timeout and delay,89.66,2015-10-04,Pieter Wuille <pieter.wuille@gmail.com> | Peter Todd <pete@petertodd.org> | Greg Maxwell <greg@xiph.org> | Rusty Russell <rusty@rustcorp.com.au>,"['Rusty Russell', 'Eric Lombrozo', 'Luke Dashjr', 'Luke-Jr', 'Pieter Wuille', 'Jonathan Cross', 'BtcDrak', 'Steven Roose', 'Chris Wheeler', 'Johnson Lau', 'MeshCollider', 'Josh Klopfenstein']",bips:9,,bips,Final,Informational
10,Multi-Sig Transaction Distribution,67.86,2011-10-28,Alan Reiner <etotheipi@gmail.com>,"['Peter Todd', 'Matias Alejo Garcia', 'Wladimir J. van der Laan', 'Umpei Kay Kurokawa', 'Luke Dashjr']",bips:10,Applications,bips,Withdrawn,Informational
11,M-of-N Standard Transactions,71.43,2011-10-18,Gavin Andresen <gavinandresen@gmail.com>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr', 'Varunram', 'SGeetansh']",bips:11,Applications,bips,Final,Standards Track
12,OP_EVAL,71.43,2011-10-18,Gavin Andresen <gavinandresen@gmail.com>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr']",bips:12,Consensus (soft fork),bips,Withdrawn,Standards Track
13,Address Format for pay-to-script-hash,71.43,2011-10-18,Gavin Andresen <gavinandresen@gmail.com>,"['Peter Todd', 'Ming C', 'Wladimir J. van der Laan', 'Luke Dashjr', 'danra', 'Vincenzo Palazzo']",bips:13,Applications,bips,Final,Standards Track
14,Protocol Version and User Agent,53.57,2011-11-10,Amir Taaki <genjix@riseup.net> | Patrick Strateman <bitcoin-bips@covertinferno.org>,"['Peter Todd', 'Michael Ford', 'Wladimir J. van der Laan', 'Luke Dashjr']",bips:14,Peer Services,bips,Final,Standards Track
15,Aliases,53.57,2011-12-10,Amir Taaki <genjix@riseup.net>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr']",bips:15,Applications,bips,Deferred,Standards Track
16,Pay to Script Hash,71.43,2012-01-03,Gavin Andresen <gavinandresen@gmail.com>,"['Peter Todd', 'Steven Roose', 'Wladimir J. van der Laan', 'Dionysis Zindros', 'Kristov Atlas', 'Gavin Andresen', 'Luke Dashjr', 'Varunram', 'Gigi']",bips:16,Consensus (soft fork),bips,Final,Standards Track
17,OP_CHECKHASHVERIFY (CHV),86.21,2012-01-18,Luke Dashjr <luke+bip17@dashjr.org>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr']",bips:17,Consensus (soft fork),bips,Withdrawn,Standards Track
18,hashScriptCheck,86.21,2012-01-27,Luke Dashjr <luke+bip17@dashjr.org>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr']",bips:18,Consensus (soft fork),bips,Proposed,Standards Track
19,M-of-N Standard Transactions (Low SigOp),86.21,2012-01-30,Luke Dashjr <luke+bip17@dashjr.org>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr', 'MeshCollider', 'Janus']",bips:19,Applications,bips,Rejected,Standards Track
20,URI Scheme,86.21,2011-01-10,Luke Dashjr <luke+bip@dashjr.org>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr']",bips:20,Applications,bips,Replaced,Standards Track
21,URI Scheme,71.43,2012-01-29,Nils Schneider <nils.schneider@gmail.com> | Matt Corallo <bip21@bluematt.me>,"['Peter Todd', 'William Swanson', 'Wladimir J. van der Laan', 'Justus Ranvier', 'Luke Dashjr', 'Sandro Machado', 'Daniel Cousens']",bips:21,Applications,bips,Final,Standards Track
22,getblocktemplate - Fundamentals,86.21,2012-02-28,Luke Dashjr <luke+bip22@dashjr.org>,"['Peter Todd', 'Wladimir J. van der Laan', 'Changhoon Lee', 'Luke Dashjr']",bips:22,API/RPC,bips,Final,Standards Track
23,getblocktemplate - Pooled Mining,86.21,2012-02-28,Luke Dashjr <luke+bip22@dashjr.org>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr', 'isidoro ghezzi']",bips:23,API/RPC,bips,Final,Standards Track
30,Duplicate transactions,86.21,2012-02-22,Pieter Wuille <pieter.wuille@gmail.com>,"['Peter Todd', 'airbreather', 'Wladimir J. van der Laan', 'Luke Dashjr', 'kn0rhaan']",bips:30,Consensus (soft fork),bips,Final,Standards Track
31,Pong message,71.43,2012-04-11,Mike Hearn <hearn@google.com>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr']",bips:31,Peer Services,bips,Final,Standards Track
32,Hierarchical Deterministic Wallets,58.33,2012-02-11,Pieter Wuille <pieter.wuille@gmail.com>,"['Peter Todd', 'Micah Winkelspecht', 'Cayman', 'Chuck', 'Pieter Wuille', 'Oleg Andreev', 'Johnathan Corgan', 'Wladimir J. van der Laan', 'afk11', 'Olivier Lalonde', 'Nicolas Dorier', 'David A. Harding', 'Timothy Hobbs', 'Dave Collins', 'jurov', 'Andrew Poelstra', 'Jonas Schnelli', 'Jonathan Brown', 'Nicolas Pouillard', 'Manuel Aráoz', 'Zach Dexter', 'Eric Lombrozo', 'Luke-Jr', 'Luke Dashjr', 'Robert Jesionek', 'Ian Coleman', 'Roland Gabriel Molina', 'MeshCollider', 'Logan Saether', 'Marcos Aguayo', 'Lucas Cullen', 'Antoine Poinsot']",bips:32,Applications,bips,Final,Informational
33,Stratized Nodes,64.29,2012-05-15,Amir Taaki <genjix@riseup.net>,"['Peter Todd', 'Wladimir J. van der Laan', 'Luke Dashjr', 'Janus']",bips:33,Peer Services,bips,Rejected,Standards Track
34,"Block v2, Height in Coinbase",71.43,2012-07-06,Gavin Andresen <gavinandresen@gmail.com>,"['Peter Todd', 'Gavin Andresen', 'Luke Dashjr', 'Johnson Lau']",bips:34,Consensus (soft fork),bips,Final,Standards Track
