id,layer,status,type,created,compliance_score,author
01,,Draft,Mandatory,2022-05-01,80.0,fiatjaf
02,,Final,Optional,2022-05-01,80.0,fiatjaf
03,,Draft,Optional,2022-05-01,80.0,fiatjaf
04,,Final,Optional,2022-05-01,80.0,fiatjaf
05,,Final,Optional,2022-05-01,80.0,fiatjaf
06,,Draft,Optional,2022-05-01,80.0,fiatjaf
07,,Draft,Optional,2022-05-06,80.0,fiatjaf
08,,Final,Optional,2022-05-01,80.0,fiatjaf
09,,Draft,Optional,2022-05-01,80.0,fiatjaf
10,,Draft,Optional,2022-05-04,80.0,Robert C. Martin
11,,Draft,Optional,2022-05-01,80.0,fiatjaf
12,,Final,Mandatory,2022-05-01,80.0,fiatjaf
13,,Draft,Optional,2022-05-05,80.0,William Casarin
14,,Draft,Optional,2022-05-24,80.0,Robert C. Martin
15,,Draft,Optional,2022-05-26,80.0,Semisol
16,,Final,Mandatory,2022-05-26,80.0,Semisol
17,,Draft,Optional,2023-08-09,80.0,Semisol
18,,Draft,Optional,2023-01-02,80.0,fiatjaf
19,,Draft,Optional,2022-12-16,80.0,fiatjaf
20,,Final,Mandatory,2022-11-10,80.0,William Casarin
21,,Draft,Optional,2023-01-24,80.0,fiatjaf
22,,Draft,Optional,2022-07-22,80.0,Jeff Thibault
23,,Draft,Optional,2023-02-03,80.0,fiatjaf
24,,Draft,Optional,2023-09-24,80.0,fiatjaf
25,,Draft,Optional,2022-07-30,80.0,William Casarin
26,,Draft,Optional,2022-08-04,80.0,Mark Harding
27,,Draft,Optional,2022-08-16,80.0,Ricardo Arturo Cabral Mejía
28,,Draft,Optional,2022-09-10,80.0,Christopher David
29,,Draft,Optional,2023-11-27,80.0,Jon Staab
30,,Draft,Optional,2023-04-29,80.0,Alex Gleason
31,,Draft,Optional,2023-05-05,80.0,fiatjaf
32,,Draft,Optional,2023-05-15,80.0,Jonathan Staab
33,,Final,Mandatory,2023-01-04,80.0,fiatjaf | Semisol
34,,Draft,Optional,2024-03-05,80.0,fiatjaf_
35,,Draft,Optional,2022-11-19,80.0,Michael Dilger
36,,Draft,Optional,2022-12-01,80.0,Fernando López Guevara
37,,Draft,Optional,2024-05-30,80.0,Vitor Pamplona
38,,Draft,Optional,2023-08-25,80.0,fiatjaf
39,,Draft,Optional,2023-03-09,80.0,pseudozach
40,,Draft,Optional,2022-12-04,80.0,Thomas
42,,Draft,Optional,2023-01-02,80.0,fiatjaf
44,,Unknown,Optional,2023-12-20,80.0,Jon Staab | Paul Miller | fiatjaf
45,,Draft,Optional,2023-01-03,80.0,Jonathan Staab
46,,Unknown,,2023-02-20,60.0,Marco Argentieri
47,,Draft,Optional,2023-03-30,80.0,Semisol
48,,Draft,Optional,2023-08-03,80.0,Alex Gleason
49,,Draft,Optional,2024-01-30,80.0,Michael Dilger
50,,Draft,Optional,2023-01-17,80.0,Artur Brugeman
51,,Draft,Optional,2023-03-09,80.0,fiatjaf | monlovesmango
52,,Draft,Optional,2023-06-10,80.0,Terry Yiu
53,,Draft,Optional,2023-07-08,80.0,Vitor Pamplona
54,,Draft,Optional,2024-05-02,80.0,fiatjaf | fiatjaf_
55,,Draft,Optional,2024-06-05,80.0,fiatjaf
56,,Unknown,Optional,2023-02-07,80.0,William Casarin
57,,Draft,Optional,2023-02-13,80.0,William Casarin
58,,Draft,Optional,2023-02-22,80.0,Ricardo Arturo Cabral Mejía
59,,Unknown,Optional,2023-08-11,80.0,Jonathan Staab
60,,Draft,Optional,2024-10-25,80.0,Pablo Fernandez
61,,Unknown,,2024-10-25,60.0,Pablo Fernandez
64,,Draft,Optional,2023-12-28,80.0,theborakompanioni
65,,Draft,Optional,2023-02-03,80.0,Mike Dilger
68,,Draft,Optional,2024-10-27,80.0,Vitor Pamplona
69,,Draft,Optional,2024-11-04,80.0,Francisco Calderón
70,,Draft,Optional,2024-07-10,80.0,fiatjaf_
71,,Draft,Optional,2023-12-09,80.0,zmeyer44
72,,Draft,Optional,2023-08-08,80.0,fiatjaf
73,,Draft,Optional,2024-08-05,80.0,Oscar Merry
75,,Draft,Optional,2023-09-01,80.0,Alejandro
78,,Draft,Optional,2023-02-23,80.0,fiatjaf
7D,,Draft,Optional,2024-11-21,80.0,hodlbod
84,,Draft,Optional,2023-11-07,80.0,fiatjaf | Pablo Fernandez
86,,Draft,Optional,2024-11-25,80.0,fiatjaf_
89,,Draft,Optional,2023-06-07,80.0,Pablo Fernandez
90,,Draft,Optional,2023-07-25,80.0,pablof7z
92,,Unknown,,2024-02-01,60.0,fiatjaf
94,,Draft,Optional,2023-03-09,80.0,frbittencourt
96,,Draft,Optional,2024-01-08,80.0,arthurfranca
98,,Draft,Optional,2023-04-24,80.0,Kieran
99,,Draft,Optional,2023-07-18,80.0,Jeff Gardner
C7,,Draft,Optional,2024-11-21,80.0,hodlbod
